model,seed,best_epoch,parameters,peak_gpu_mb,training_seconds,validation.auc_macro_ovr,validation.accuracy,validation.balanced_accuracy,validation.f1_macro,validation.quadratic_kappa,validation.nll,validation.brier_multiclass,validation.ece10,test.auc_macro_ovr,test.accuracy,test.balanced_accuracy,test.f1_macro,test.quadratic_kappa,test.nll,test.brier_multiclass,test.ece10,evaluation_seconds,run_status
early_fusion,17,3,11197380,358.1044921875,341.1825032234192,0.9263506944444444,0.7625,0.7229166666666667,0.713574977018913,0.877742946708464,0.5625169277191162,0.3013636670675917,0.05402548958857852,0.9063854166666667,0.7791666666666667,0.71875,0.7147405645268063,0.8650306748466258,0.6119041442871094,0.33402655889892613,0.07132929700116315,,
early_fusion,29,7,11197380,362.1357421875,320.4802463054657,0.9240590277777777,0.7708333333333334,0.7270833333333333,0.7353664208255477,0.8763693270735524,0.6085843443870544,0.3096262925822183,0.08918141399820644,0.9116666666666666,0.7458333333333333,0.6645833333333333,0.6660934744268078,0.8667687595712098,0.6454671621322632,0.3351738872949016,0.09821273026367028,,
early_fusion,43,2,11197380,362.1357421875,342.7496702671051,0.930048611111111,0.7916666666666666,0.7458333333333333,0.746400114679784,0.8944099378881988,0.5391234159469604,0.2931074200784921,0.034444120277961114,0.9064548611111112,0.7541666666666667,0.6854166666666667,0.6768220636160303,0.8627450980392157,0.5996500849723816,0.337412886624438,0.04704736595352489,,
gated_token,17,1,35608403,977.32861328125,198.11793613433838,0.9141388888888888,0.75,0.6666666666666666,0.6907276451669722,0.8717105263157895,0.5764705538749695,0.3336354127597004,0.0463967447479566,0.9177222222222221,0.775,0.6916666666666667,0.7149539041425379,0.8603896103896104,0.5759571194648743,0.3113366254127185,0.028970985735456128,,
gated_token,29,5,35608403,977.32861328125,352.78424072265625,0.9196249999999999,0.7833333333333333,0.7083333333333333,0.7214441133983387,0.9051321928460342,0.5942544341087341,0.3184919159910064,0.09121468017498652,0.9412708333333334,0.8083333333333333,0.7374999999999999,0.749637601981352,0.8888888888888888,0.5298311710357666,0.2811315057250985,0.07063209861516953,,
gated_token,43,1,35608403,975.9970703125,199.57394981384277,0.9251388888888888,0.7458333333333333,0.65625,0.6421294864091474,0.8934306569343066,0.5770097970962524,0.3370660940179603,0.08115132078528406,0.91990625,0.75,0.6458333333333333,0.637492886612605,0.8633093525179856,0.6088545918464661,0.33143421547215995,0.0886789035052061,,
late_fusion,17,2,33924036,947.37109375,235.9535026550293,0.9219722222222223,0.7666666666666667,0.6958333333333333,0.7154289829451381,0.8939641109298532,0.5506722927093506,0.3141802682348178,0.026803153132398942,0.917107638888889,0.7458333333333333,0.6895833333333333,0.7040607752659402,0.8548387096774194,0.5680094957351685,0.32232306393352167,0.0845696133871873,,
late_fusion,29,1,33924036,948.74267578125,188.3434853553772,0.9293854166666666,0.7833333333333333,0.725,0.7298076923076924,0.9107692307692308,0.5296761393547058,0.2924041856394374,0.0429357472807169,0.9126006944444445,0.7666666666666667,0.7041666666666667,0.7048616423365419,0.8698315467075038,0.5782892107963562,0.3245637765558669,0.05475039581457775,,
late_fusion,43,3,33924036,948.74267578125,249.57319021224976,0.9214375,0.775,0.7083333333333334,0.7260822510822511,0.8952380952380953,0.5592423677444458,0.32178164785124524,0.09136641696095466,0.9337256944444444,0.8,0.7333333333333333,0.7474392113910185,0.8821656050955414,0.5486592054367065,0.2863894458668811,0.05286947761972745,,
official_hamm,17,5,237593072,4653.46142578125,1307.347907781601,0.9003854166666667,0.7666666666666667,0.6541666666666667,0.6215954449063563,0.8679245283018868,0.665771484375,0.36498350390085627,0.10623341177900633,0.9006944444444445,0.7333333333333333,0.6041666666666667,0.565748170841384,0.8388017118402282,0.6932575106620789,0.3772663252224131,0.106234951565663,,
official_hamm,29,3,237593072,4655.68017578125,1282.554059267044,0.90590625,0.7333333333333333,0.6125,0.5580842820999368,0.8734353268428373,0.699695348739624,0.38106215486353295,0.052587777251998605,0.9035243055555556,0.7041666666666667,0.5645833333333333,0.5066650197628458,0.8461538461538461,0.738799512386322,0.3961966718194617,0.09248156708975633,,
official_hamm,43,3,237593072,1903.60498046875,,0.88571875,0.7083333333333334,0.5625,0.5366820684302532,0.7866473149492017,0.7615023255348206,0.42492217818488615,0.12215145354469617,0.8936041666666666,0.6833333333333333,0.5249999999999999,0.4728186942401732,0.7722772277227723,0.7753583192825317,0.42145680434493665,0.09932196363806726,21.36786389350891,training interrupted during epoch 4 by external GPU contention; validation-selected epoch-3 checkpoint evaluated
official_hamm,43,6,237593072,4653.46142578125,1286.989232301712,0.9110451388888888,0.7583333333333333,0.6708333333333333,0.6128205128205129,0.8605341246290801,0.6782076358795166,0.36155921970790356,0.050887382154663416,0.8941284722222221,0.7375,0.6229166666666667,0.5680533626895723,0.8460431654676259,0.7044639587402344,0.37230709100702863,0.04966702535748481,,
token_no_gates,29,7,35608403,973.66357421875,505.447726726532,0.9161423611111111,0.7458333333333333,0.69375,0.7008887186482815,0.8751974723538705,0.7062414884567261,0.3714457454691831,0.1630327552556991,0.9420416666666667,0.8,0.7208333333333334,0.7337770671104005,0.882800608828006,0.5707659125328064,0.300575632961896,0.09685525906582672,,
token_no_regularizers,29,1,35608403,975.95703125,255.66249918937683,0.9144791666666666,0.725,0.6708333333333333,0.6697923862941524,0.8726655348047538,0.6606230139732361,0.3784292650701653,0.03720709482828776,0.9083090277777779,0.7375,0.6895833333333334,0.698956909693847,0.8657718120805369,0.6625171899795532,0.36163294237190385,0.04338504647215208,,
token_no_transformer,29,5,35608403,957.91796875,388.1874635219574,0.9144409722222222,0.7791666666666667,0.70625,0.7284647229181103,0.891025641025641,0.5859777927398682,0.3204225614573993,0.04679598659276964,0.9291041666666666,0.7916666666666666,0.725,0.7415320910973084,0.8793650793650793,0.5348857641220093,0.2964913979045119,0.06792448572814468,,
