model,parameters,auc,accuracy,balanced_accuracy,macro_f1,qwk
vf,11308868,0.9210173611111111,0.8,0.725,0.7398334132511347,0.8773006134969326
vf_oct,22616452,0.9073749999999999,0.775,0.7083333333333334,0.6978198098282122,0.8628659476117103
vf_oct_slo,33924036,0.9274375,0.7666666666666667,0.6708333333333334,0.6488239602998789,0.8666666666666667
weighted_logits,33535695,0.9236076388888887,0.7708333333333334,0.6812499999999999,0.6736950421856943,0.8695652173913043
attention_pool,33992133,0.9219548611111111,0.8,0.7333333333333333,0.7405753846767096,0.8769230769230769
mlp_matched,34451140,0.9302256944444444,0.7875,0.7145833333333333,0.718263500129203,0.891271056661562
token_no_aux,35608403,0.9281006944444443,0.775,0.7041666666666667,0.7050341564107723,0.8813559322033898
token_no_moddrop,35608403,0.9258055555555555,0.7875,0.7270833333333333,0.7290996605020996,0.8940809968847352
gated_token,35608403,0.9359305555555555,0.8166666666666667,0.7458333333333333,0.7611380637026017,0.896124031007752
token_no_gates,35608403,0.938048611111111,0.8,0.7208333333333333,0.7266591319653636,0.8916030534351145
late_fusion,33924036,0.9291597222222222,0.7875,0.7229166666666667,0.7385587473467133,0.8775834658187599
